,CA_Sh_JH_PJ35_1,CA_Sh_JH_PJ35_10,CA_Sh_JH_PJ35_11,CA_Sh_JH_PJ35_12,CA_Sh_JH_PJ35_13,CA_Sh_JH_PJ35_14,CA_Sh_JH_PJ35_15,CA_Sh_JH_PJ35_16,CA_Sh_JH_PJ35_17,CA_Sh_JH_PJ35_18,CA_Sh_JH_PJ35_19,CA_Sh_JH_PJ35_2,CA_Sh_JH_PJ35_20,CA_Sh_JH_PJ35_21,CA_Sh_JH_PJ35_22,CA_Sh_JH_PJ35_23,CA_Sh_JH_PJ35_24,CA_Sh_JH_PJ35_3,CA_Sh_JH_PJ35_4,CA_Sh_JH_PJ35_5,CA_Sh_JH_PJ35_6,CA_Sh_JH_PJ35_7,CA_Sh_JH_PJ35_8,CA_Sh_JH_PJ35_9,CA_Sh_JH_PJ36_1,CA_Sh_JH_PJ36_10,CA_Sh_JH_PJ36_11,CA_Sh_JH_PJ36_12,CA_Sh_JH_PJ36_13,CA_Sh_JH_PJ36_14,CA_Sh_JH_PJ36_15,CA_Sh_JH_PJ36_16,CA_Sh_JH_PJ36_17,CA_Sh_JH_PJ36_18,CA_Sh_JH_PJ36_19,CA_Sh_JH_PJ36_2,CA_Sh_JH_PJ36_20,CA_Sh_JH_PJ36_21,CA_Sh_JH_PJ36_22,CA_Sh_JH_PJ36_23,CA_Sh_JH_PJ36_24,CA_Sh_JH_PJ36_3,CA_Sh_JH_PJ36_4,CA_Sh_JH_PJ36_5,CA_Sh_JH_PJ36_6,CA_Sh_JH_PJ36_7,CA_Sh_JH_PJ36_8,CA_Sh_JH_PJ36_9
CA_Sh_JH_PJ35_1,0,1.86883480914168,1.38332699335998,0.775728148815509,1.71399778740844,1.02085060684849,1.94570185911271,1.22204232763387,0.8754687373539,1.20317216364245,0.820179911386343,1.02085060684849,1.60863727175061,1.29103519912082,NA,1.01670785964228,1.60863727175061,1.30921902120626,0.985653549569642,1.09240102866883,1.51332709194629,0.985653549569642,1.96531221568935,1.73286795139986,NA,NA,0.92676203174145,NA,0.934360255182092,NA,1.07800902068844,NA,0.713558177820073,0.780158557549575,0.826678573184468,NA,NA,1.30625165344635,NA,2.26176309847379,1.38629436111989,NA,NA,NA,NA,1.26274596495154,NA,1.96531221568935
CA_Sh_JH_PJ35_10,1.86883480914168,0,0.559615787935423,1.42334834719675,1.28024750355608,0.943775266934865,1.13547400402543,1.23457914640993,1.17568762858174,2.37885979222419,1.09792594676212,0.992565431104297,1.28024750355608,1.60927259585134,NA,2.13523707438407,2.19653823543023,1.13497993283898,1.01143559509572,0.968805673120309,1.90885616297845,1.1739545245935,1.34924037504303,1.23457914640993,NA,NA,1.24022614971931,NA,2.0612577195944,NA,1.68571261166424,NA,2.17692787885359,1.86883480914168,1.86883480914168,NA,NA,0.81278213489237,NA,1.17568762858174,1.30921902120626,NA,NA,NA,NA,2.29533274989261,NA,1.34924037504303
CA_Sh_JH_PJ35_11,1.38332699335998,0.559615787935423,0,1.28024750355608,1.79107312732207,0.992565431104297,0.749811523213447,1.23457914640993,0.952544077267529,1.68571261166424,0.992565431104297,0.730201166636806,1.34924037504303,1.52226121886171,NA,1.84755500193229,1.34924037504303,1.7227665977411,1.01143559509572,0.476329188022515,2.04238755560297,0.711331002645383,1.21570898241851,2.21540839942166,NA,NA,1.05790459292536,NA,2.0612577195944,NA,1.28024750355608,NA,1.40373799062011,1.30921902120626,0.81278213489237,NA,NA,0.903753913098097,NA,1.00383737165508,1.64569125782747,NA,NA,NA,NA,1.82532912064687,NA,1.34924037504303
CA_Sh_JH_PJ35_12,0.775728148815509,1.42334834719675,1.28024750355608,0,1.46633706879343,0.955511445027436,1.53373808920642,1.26206368147064,0.820179911386343,0.906721280858004,1.24319351747922,0.693147180559945,1.38629436111989,0.879071429214535,NA,0.754448341606111,1.55334844578306,0.992565431104297,0.75123805770465,0.69058963022656,0.773189888233482,0.674277016568522,1.38629436111989,2.58381952145296,NA,NA,1.02085060684849,NA,0.75123805770465,NA,1.87180217690159,NA,0.987194382838346,0.543926534758185,0.820179911386343,NA,NA,1.71399778740844,NA,2.1194628955166,1.51332709194629,NA,NA,NA,NA,1.22865934663459,NA,1.31218638896617
CA_Sh_JH_PJ35_13,1.71399778740844,1.28024750355608,1.79107312732207,1.46633706879343,0,1.24319351747922,0.796139146075637,1.33105655295759,1.34627300728312,1.11803037452521,1.38629436111989,1.55334844578306,0.693147180559945,1.77288930523663,NA,1.81050101585543,1.31218638896617,0.992565431104297,1.19752516033307,1.25020541816198,0.619039208406223,0.792060052224905,1.46633706879343,0.834619666643701,NA,NA,1.51332709194629,NA,0.879071429214535,NA,1.24319351747922,NA,1.29257603238953,0.733168534396713,1.51332709194629,NA,NA,0.966783385578219,NA,0.915490091190668,1.02085060684849,NA,NA,NA,NA,1.22865934663459,NA,1.06087196068526
CA_Sh_JH_PJ35_14,1.02085060684849,0.943775266934865,0.992565431104297,0.955511445027436,1.24319351747922,0,1.04126160410862,1.57221860977448,0.866699927021236,1.38629436111989,0.955511445027436,0.619039208406223,0.955511445027436,0.925591444849428,NA,1.25088522792,1.64865862558738,1.42334834719675,0.414765821083437,1.02706186684777,1.11803037452521,0.75123805770465,1.64865862558738,2.02420373351754,NA,NA,1.51332709194629,NA,1.57221860977448,NA,1.31218638896617,NA,1.36668400454325,1.07800902068844,1.20317216364245,NA,NA,1.13863364250488,NA,1.07800902068844,0.966783385578219,NA,NA,NA,NA,1.09512795401006,NA,1.11803037452521
CA_Sh_JH_PJ35_15,1.94570185911271,1.13547400402543,0.749811523213447,1.53373808920642,0.796139146075637,1.04126160410862,0,1.06013176810005,1.25255467855276,1.09842001794857,1.53373808920642,0.935901088450796,1.36668400454325,0.954771252442219,NA,1.38542555117062,1.62904826901074,1.13547400402543,0.905981088272787,0.67097927364992,1.62904826901074,0.654666659991881,0.935901088450796,0.954771252442219,NA,NA,1.25255467855276,NA,2.0045933769409,NA,0.935901088450796,NA,1.51412773262978,1.0583986641118,1.40670535838002,NA,NA,1.40670535838002,NA,1.00124025027185,1.49371673536965,NA,NA,NA,NA,1.20904899005794,NA,1.53373808920642
CA_Sh_JH_PJ35_16,1.22204232763387,1.23457914640993,1.23457914640993,1.26206368147064,1.33105655295759,1.57221860977448,1.06013176810005,0,0.839050075377767,1.19752516033307,1.13690053851663,1.40516452511131,1.48520723278485,1.15577070250806,NA,1.26975539191143,1.13690053851663,0.510660307183232,1.79175946922805,0.863610474045242,1.48520723278485,1.09861228866811,1.19752516033307,1.68639895357023,NA,NA,1.1575038064963,NA,1.15577070250806,NA,1.26206368147064,NA,1.38555416853467,0.985653549569642,1.85065098705625,NA,NA,1.53219725593771,NA,0.88557009101266,0.934360255182092,NA,NA,NA,NA,1.17853663913906,NA,1.57221860977448
CA_Sh_JH_PJ35_17,0.8754687373539,1.17568762858174,0.952544077267529,0.820179911386343,1.34627300728312,0.866699927021236,1.25255467855276,0.839050075377767,0,1.71399778740844,0.915490091190668,0.820179911386343,1.51332709194629,1.09687918467987,NA,2.05816173447044,1.51332709194629,1.46336970103352,0.528895147073927,1.09240102866883,1.51332709194629,1.1575038064963,1.96531221568935,1.1575038064963,NA,NA,1.30625165344635,NA,1.73286795139986,NA,1.07800902068844,NA,1.0583986641118,0.735706794978741,1.03798766685167,NA,NA,1.23214368129263,NA,1.92529086185258,1.38629436111989,NA,NA,NA,NA,1.34278867262508,NA,1.42631571495666
CA_Sh_JH_PJ35_18,1.20317216364245,2.37885979222419,1.68571261166424,0.906721280858004,1.11803037452521,1.38629436111989,1.09842001794857,1.19752516033307,1.71399778740844,0,2.85263142991332,1.46633706879343,1.11803037452521,0.879071429214535,NA,1.11735383529548,1.38629436111989,1.28024750355608,1.19752516033307,1.53788749061376,0.906721280858004,1.77288930523663,2.15948424935337,1.89067234089301,NA,NA,2.1194628955166,NA,1.26206368147064,NA,1.11803037452521,NA,1.36668400454325,0.820179911386343,1.51332709194629,NA,NA,2.1194628955166,NA,1.83178082306482,1.96531221568935,NA,NA,NA,NA,1.09512795401006,NA,1.75401914124521
