,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_8
UT_Ca_JN_PJ17_1,0,NA,NA,NA,2.545339001,NA,NA,NA,2.196538235,NA,NA,NA
UT_Ca_JN_PJ17_13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_17,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_3,2.545339001,NA,NA,NA,0,NA,NA,NA,2.582392987,NA,NA,NA
UT_Ca_JN_PJ17_9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_10,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
UT_Ca_JN_PJ18_19,2.196538235,NA,NA,NA,2.582392987,NA,NA,NA,0,NA,NA,NA
UT_Ca_JN_PJ18_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
UT_Ca_JN_PJ18_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
UT_Ca_JN_PJ18_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
